timestamp,gx,gy,gz
1726357386.0832894,-121.4,-649.9,-143.25
1726357144.3560925,-988.95,-592.04,372.19
1726357193.889544,387.51,-108.83,487.67
1726357052.3414314,377.62,-571.72,-298.34
1726357105.8412578,-43.33,-510.93,270.2
1726356864.749791,872.8,-207.76,-321.59
1726357086.9487655,324.71,-351.14,-420.9
1726357441.7956357,0.0,-2.2,0.49
1726357491.972101,-220.4,328.86,-19.59
1726357002.441451,0.24,-0.12,-0.73
1726357270.0961895,190.55,-498.23,-682.86
1726357423.7728572,1.16,2.75,-36.25
1726356858.727499,-0.49,-0.37,0.18
1726357462.6811962,10.86,2.38,143.19
1726357323.1679688,-212.16,668.15,519.78
1726357142.8997,-159.3,-174.07,-619.45
1726357370.4170325,-151.79,205.99,201.54
1726356993.684367,1.95,1.04,-1.22
1726357271.8564954,-83.56,640.69,281.74
1726357017.0210052,61.4,40.41,-41.75
1726356826.2163012,-0.18,-0.37,0.06
1726357494.165027,100.4,188.42,212.59
1726357302.919403,55.18,115.6,-167.11
1726357462.2015922,47.55,128.48,69.95
1726357472.6534092,20.51,10.99,49.32
1726357502.4904878,-2.62,-0.55,-3.05
1726357050.6393614,-88.75,-402.47,-321.66
1726357179.6167831,244.2,-72.69,-152.16
1726357242.0462122,-156.92,100.71,146.55
1726357472.4031131,-39.12,-150.27,-76.84
1726357390.2704103,-198.36,368.77,501.28
1726357234.594677,221.5,-495.91,-213.01
1726357223.987537,-225.46,141.91,330.87
1726357013.762211,36.38,55.54,51.39
1726357182.673934,198.55,-152.28,458.86
1726357033.3132734,-554.14,-1000.06,146.42
1726357332.4186935,115.66,-121.52,-371.52
1726357413.1094265,-196.35,-281.98,-94.91
1726357045.3823674,211.55,379.82,412.29
1726357134.6018014,-35.16,-43.15,-281.92
1726356840.1696708,-0.12,-0.31,0.12
1726357130.9302204,-599.67,552.12,376.22
1726357229.1976006,-182.56,-23.74,-437.74
1726357021.3008242,-235.84,-142.4,-101.32
1726357354.225134,28.75,122.8,52.19
1726357074.9411278,138.55,54.14,182.01
1726357353.2623162,-180.66,572.02,-105.35
1726357493.4334123,81.73,208.62,294.07
1726357125.083896,-299.44,213.5,543.82
1726357454.3168857,-118.53,501.16,-175.35
1726357083.641334,-189.82,-420.23,467.9
1726357378.4037566,90.45,-524.11,15.44
1726357222.198532,91.86,-296.14,-178.77
1726357045.8725097,366.52,-486.57,-432.31
1726357342.3800397,2.14,324.83,-153.44
1726357060.6507363,366.94,-496.09,-494.69
1726357423.2170591,70.92,-183.47,146.24
1726356864.0866315,-269.78,-429.14,-0.67
1726357413.3454938,-300.96,580.57,-104.55
1726357152.957517,-168.4,-170.35,552.73
1726357219.4100688,-409.85,271.06,566.59
1726357223.7149503,-86.12,-198.43,-394.1
1726357324.899839,73.79,271.24,-874.88
1726357286.6291354,-52.19,-16.3,236.63
1726357463.9076447,22.64,-32.59,45.9
1726357362.7682714,24.9,-202.88,-206.54
1726357330.2086265,-3.05,-144.1,-225.34
1726357339.4109814,9.77,-193.42,194.89
1726357235.8111875,23.19,53.1,-86.06
1726357016.2256744,24.17,26.55,-9.52
1726357309.1546988,-45.17,-151.06,-59.75
1726357479.1524725,74.95,51.57,42.79
1726357103.8362143,182.07,-490.48,-110.6
1726357053.3052845,-176.09,-368.71,722.78
1726357418.1961966,71.04,-425.72,647.71
1726357038.3371446,17.76,739.44,-69.34
1726357279.9442432,-32.78,-89.66,-43.21
1726356833.5233417,-0.24,-0.37,0.12
1726357349.5974443,92.29,-211.91,-206.18
1726357479.6263945,-4.94,-102.17,121.15
1726357143.374771,-884.28,-594.12,1020.94
1726357298.3558216,-44.68,49.13,-252.2
1726357063.481084,189.27,-520.26,-150.7
1726357168.3401897,0.18,186.4,-198.73
1726357478.403029,-10.01,72.63,-36.8
1726357288.149598,148.44,100.4,-222.23
1726357148.0332649,-413.33,318.42,1094.6
1726357011.9289312,-75.2,-96.37,-11.35
1726357183.7040749,155.82,-126.59,-189.15
1726357441.2770028,-0.12,1.83,-3.54
1726357007.735139,6.1,3.17,-1.77
1726357015.1326394,-108.34,-95.09,29.3
1726357079.091599,-579.53,129.88,540.59
1726357430.141601,-346.92,457.09,-19.04
1726357342.6286635,241.76,-118.47,-63.72
1726357285.6431873,72.81,44.86,70.5
1726357497.339918,-171.45,181.88,-18.68
1726357259.778706,-26.86,264.77,489.75
1726357406.3273897,-101.68,-271.18,-140.26
1726357060.16769,238.83,436.04,-169.98
1726357124.3450966,246.46,-320.86,-590.7
1726357029.0390203,-514.77,-970.34,316.89
1726356885.4756474,-113.28,-172.3,605.65
1726357067.0365462,-134.46,380.07,580.57
1726357025.1886282,-300.29,-264.65,-30.21
1726357411.0915685,237.37,60.85,-117.74
1726357345.8669484,11.84,-580.87,184.94
1726357341.3895605,157.04,-18.07,-314.51
1726357213.1391203,147.34,-562.74,-193.91
1726357268.5685754,-328.43,116.88,106.51
1726357425.4967425,164.18,-175.17,418.64
1726356850.6566043,0.18,-0.18,-0.49
1726357431.8928542,52.31,-274.54,-265.14
1726357384.1141534,-1.1,-622.86,437.81
1726357358.558757,-72.45,-73.3,47.06
1726356993.1502638,1.71,0.55,-0.67
1726357182.9194305,-15.08,26.0,257.75
1726357110.764403,-678.65,-105.41,1035.28
1726357334.9254737,-82.64,-109.68,-265.08
1726357424.7414052,-7.63,-81.6,51.51
1726357359.7912638,-90.88,-473.94,165.22
1726357319.338112,101.99,7.81,25.33
1726357454.5774958,-40.95,39.73,-70.07
1726357458.6254702,273.07,-149.29,182.31
1726357205.697647,444.95,499.82,-547.3
1726357324.4060612,327.64,-655.21,-479.8
1726357145.412559,-145.57,-159.85,-256.35
1726357158.0655584,133.85,36.01,-441.83
1726357019.766555,62.81,38.15,-57.68
1726357341.6445334,-59.75,-29.97,307.92
1726357440.0477817,-0.06,-2.32,0.98
